,Site,Date,pH,Dissolved Oxygen,Nitrite,Nitrate,Ammonia,Phosphate,Surface Temp,Middle Temp,Bottom Temp,WQI,Water Quality
1000,MANALAW,2021-02-01,7.75,6.56,0.074,0.146,0.23,2.48,27.5,27.5,27.2,7.22,Very Poor
1001,BAÑAGA,2021-02-01,7.58,5.63,0.1159999999999999,0.1539999999999999,0.32,2.74,27.5,27.4,27.5,7.01,Very Poor
1002,BUSO-BUSO,2021-02-01,7.83,6.71,0.064,0.1159999999999999,0.27,2.57,28,27.8,27.8,7.35,Very Poor
1003,TANAUAN,2021-03-01,7.75,6.55,0.082,0.192,0.24,2.58,28.1,26.9,26.7,7.21,Very Poor
1004,NANGKAAN,2021-03-01,8,6.45,0.104,0.1379999999999999,0.24,2.55,28,27,26.8,7.22,Very Poor
1005,LEVISTE,2021-03-01,7.92,4.08,0.0839999999999999,0.154,0.2,2.48,28.8,27.2,27,6.66,Very Poor
1006,SAMPALOC,2021-03-01,7.83,5.45,0.078,0.142,0.2,2.55,28.7,28.1,27.2,7.04,Very Poor
1007,QUILING,2021-03-01,7.92,5.33,0.108,0.128,0.23,2.52,29,27.2,27.5,7.02,Very Poor
1008,MANALAW,2021-04-01,7.75,5.95,0.066,0.078,0.22,2.39,29,27.7,27.2,7.13,Very Poor
1009,BAÑAGA,2021-04-01,8,3.29,0.084,0.064,0.22,2.29,29.2,28.7,28,6.59,Very Poor
1010,BUSO-BUSO,2021-04-01,8.08,4.92,0.122,0.1379999999999999,0.34,2.13,29.9,29,28,7.08,Very Poor
1011,LEVISTE,2021-04-01,7.92,5.62,0.124,0.18,0.22,2.17,29.5,28.5,28,7.17,Very Poor
1012,SAMPALOC,2021-04-01,8.08,7.56,0.058,0.156,0.27,2.38,30,28,27.5,7.68,Very Poor
1013,SAN ISIDRO,2021-04-01,8,6.51,0.112,0.114,0.27,2.41,29.6,28,27.2,7.37,Very Poor
1014,QUILING,2021-04-01,8,6.48,0.052,0.078,0.25,2.42,29.3,28.1,27,7.33,Very Poor
1015,TANAUAN,2021-04-01,8.08,6.39,0.11,0.106,0.28,2.48,29,27.8,27.1,7.32,Very Poor
1016,NANGKAAN,2021-04-01,8,6.6,0.13,0.13,0.22,2.04,29,27.3,27.2,7.29,Very Poor
1017,TANAUAN,2021-05-01,8.17,6.69,0.092,0.128,0.01,2.52,29.2,27.2,26.8,7.33,Very Poor
1018,NANGKAAN,2021-05-01,8.17,6.23,0.088,0.116,0,2.4880000000000004,29,27.5,26.7,7.21,Very Poor
1019,MANALAW,2021-05-01,8,6.63,0.046,0.058,0,2.466,30,29.6,28.3,7.51,Very Poor
1020,BAÑAGA,2021-05-01,8,4.79,0.0559999999999999,0.052,0.02,2.63,30,28.7,27,6.96,Very Poor
1021,BUSO-BUSO,2021-05-01,8,6.43,0.0419999999999999,1.1999999999999995,0.02,2.596,30.1,28.2,27.2,7.47,Very Poor
1022,LEVISTE,2021-05-01,8,6.36,0.026,0.088,0.02,2.518,30.8,29.4,27.8,7.46,Very Poor
1023,SAMPALOC,2021-05-01,8,6.63,0.066,0.09,0,2.5460000000000003,30,28.7,27.2,7.42,Very Poor
1024,QUILING,2021-05-01,8,6.37,0.0559999999999999,0.13,0,2.538,29.2,28.5,27.2,7.31,Very Poor
1025,TANAUAN,2021-06-01,8.17,6.91,0,5.67,0.04,2.44,30.8,28.3,27.4,8.1,Very Poor
1026,NANGKAAN,2021-06-01,8.17,6.88,0,1.186,0.04,2.51,31,28.4,27.3,7.66,Very Poor
1027,MANALAW,2021-06-01,8.33,5.41,0.072,0.09,0.09,2.43,30.6,30.5,28,7.33,Very Poor
1028,BAÑAGA,2021-06-01,8,3.79,0.042,0.092,0.49,2.6,31,29.8,27.5,6.91,Very Poor
1029,BUSO-BUSO,2021-06-01,8,5.89,0.05,0.094,0.29,2.56,31,29.4,28.7,7.44,Very Poor
1030,LEVISTE,2021-06-01,8,6.13,0.1,0.074,0.1,2.48,31.8,30,28.8,7.54,Very Poor
1031,SAN ISIDRO,2021-06-01,8,6.08,0.064,0.092,0.15,2.46,31.2,29.1,28,7.42,Very Poor
1032,SAMPALOC,2021-06-01,8,6.5,0.062,0.256,0.14,2.48,31.8,28.8,27.7,7.54,Very Poor
1033,QUILING,2021-06-01,8,6.37,0.096,0.256,0.23,2.35,31.2,29.3,27.8,7.51,Very Poor
1034,LEVISTE,2021-07-01,8.33,4.82,0.1,0.18,0.14,2.98,30.8,29.3,28,7.21,Very Poor
1035,SAMPALOC,2021-07-01,8,4.7,0.01,0.19,0.15,2.66,30.9,28.2,27.4,7.01,Very Poor
1036,QUILING,2021-07-01,8.17,4.48,0.03,0.19,0.12,2.58,30.2,29.4,27.6,7,Very Poor
1037,TANAUAN,2021-07-01,8.25,4.89,0.08,0.18,0.01,2.69,30.2,28.4,28,7.09,Very Poor
1038,NANGKAAN,2021-07-01,7.58,5.57,0.08,0.24,0.11,2.84,29.5,28.5,28,7.16,Very Poor
1039,TANAUAN,2021-08-01,8.58,6.46,0.1,0.042,0.3,3,29.8,28.6,28.4,7.6,Very Poor
1040,NANGKAAN,2021-08-01,8.25,6.26,0.08,0.11,0.34,2.44,29.6,28.8,27.8,7.43,Very Poor
1041,MANALAW,2021-08-01,8.33,6.43,0.09,0.01,0.23,2.44,29.1,28.8,28.7,7.48,Very Poor
1042,BAÑAGA,2021-08-01,8.17,5.38,0.08,0.088,0.36,2.87,29.7,28.9,27.9,7.25,Very Poor
1043,BUSO-BUSO,2021-08-01,8.25,5.2,0.05,0.04,0.37,2.43,29.3,29.6,27.2,7.15,Very Poor
1044,LEVISTE,2021-08-01,8.25,5.11,0.08,0.04,0.29,2.41,29.1,28.9,28.8,7.15,Very Poor
1045,SAN ISIDRO,2021-08-01,8.17,5.97,0.06,0.02,0.32,2.53,29.8,28.8,27.1,7.31,Very Poor
1046,SAMPALOC,2021-08-01,8.42,4.88,0.08,0.03,0.32,2.52,29.5,29,27.4,7.09,Very Poor
1047,QUILING,2021-08-01,8.25,5.72,0.07,0.04,0.32,2.49,30,29.8,27,7.32,Very Poor
1048,TANAUAN,2021-09-01,8.08,5.77,0.02,0.02,1.31,3.76,29,28.5,27.4,7.48,Very Poor
1049,LEVISTE,2021-09-01,8.08,4.72,0.02,0.09,0.3,2.54,29.6,28.9,28.5,7.05,Very Poor
1050,SAN ISIDRO,2021-09-01,8.17,5.82,0.01,0.07,0.34,2.48,29.8,28.8,27.6,7.3,Very Poor
1051,SAMPALOC,2021-09-01,8.17,4.4,0.02,0.14,0.35,2.46,29.6,28.8,27.8,6.95,Very Poor
1052,QUILING,2021-09-01,7.92,5.73,0.03,0.17,0.55,2.54,29.2,29,28.4,7.31,Very Poor
1053,NANGKAAN,2021-09-01,8.5,6.47,0.02,0.02,0.13,2.37,29.4,28.8,27.5,7.44,Very Poor
1054,MANALAW,2021-09-01,8.24,4.63,0.03,0.03,0.21,2.91,30,29.5,28.9,7.14,Very Poor
1055,BAÑAGA,2021-09-01,8.36,4.01,0.04,0.04,0.69,2.51,29.8,29.2,28.5,6.99,Very Poor
1056,BUSO-BUSO,2021-09-01,8.35,3.29,0.04,0.04,0.32,2.54,30,29.2,28.2,6.76,Very Poor
1057,MANALAW,2021-10-01,8.47,7,0.0679999999999999,0.02,0.312,2.34,29,29,27,7.56,Very Poor
1058,BAÑAGA,2021-10-01,8.37,3.19,0.06,0.26,0.3299999999999999,2.57,30,29.3,28.2,6.77,Very Poor
1059,BUSO-BUSO,2021-10-01,8.2,3.23,0.052,0.16,0.3399999999999999,3.49,29.8,29.5,27.5,6.8,Very Poor
1060,LEVISTE,2021-10-01,8.45,5.61,0.092,0.11,0.254,2.37,29,29,28.5,7.29,Very Poor
1061,SAMPALOC,2021-10-01,8.18,6.05,0.054,0.19,0.3,2.49,29,28,27,7.26,Very Poor
1062,QUILING,2021-10-01,8.26,3.17,0.05,0.23,0.398,2.6,29.5,28.9,28.3,6.71,Very Poor
1063,TANAUAN,2021-10-01,7.84,3.15,0.042,0.28,0.286,2.53,29,29,27,6.54,Very Poor
1064,NANGKAAN,2021-10-01,7.53,5.56,0.066,0.15,0.2719999999999999,2.38,30,29.3,28.2,7.19,Very Poor
1065,MANALAW,2021-11-01,8.22,6.43,0.164,0.14,0.09,2.394,28.3,27.8,27.2,7.29,Very Poor
1066,BAÑAGA,2021-11-01,8.16,5,0.0579999999999999,0.15,0.14,2.53,29.1,28.8,28.5,7.09,Very Poor
1067,BUSO-BUSO,2021-11-01,7.64,3.34,0.124,0.14,0.35,2.4080000000000004,29.3,28.8,27.8,6.6,Very Poor
1068,LEVISTE,2021-11-01,7.9,4.82,0.074,0.18,0.07,2.194,28.9,28,27.8,6.88,Very Poor
1069,SAMPALOC,2021-11-01,7.73,4.95,0.114,0.16,0.19,2.358,28.5,27.7,26.9,6.84,Very Poor
1070,QUILING,2021-11-01,8.26,5.22,0.06,0.104,0.18,2.466,28.2,28.2,27.8,7.04,Very Poor
1071,TANAUAN,2021-11-01,7.84,5.54,0.08,0.086,0.1,2.348,28.8,28.8,28.5,7.13,Very Poor
1072,NANGKAAN,2021-11-01,7.53,6.42,0.044,0.06,0.1,2.506,28.6,28.2,28.2,7.26,Very Poor
1073,BAÑAGA,2021-12-01,7.76,4.6,0.112,0.2339999999999999,0.26,2.6060000000000003,27,26.9,26.9,6.69,Very Poor
1074,SAMPALOC,2021-12-01,8.15,4.96,0.106,0.146,0.15,2.502,27.3,26.9,26.8,6.81,Very Poor
1075,QUILING,2021-12-01,7.84,4.6,0.062,0.196,0.13,2.654,37,26.8,26.8,7.17,Very Poor
1076,TANAUAN,2021-12-01,8.56,4.28,0.068,0.08,0.07,2.4560000000000004,29.2,28.1,27.76,6.88,Very Poor
1077,MANALAW,2022-01-01,8.13,5.74,0.11,0.15,0.24,2.56,26.8,26.5,26.4,6.96,Very Poor
1078,BAÑAGA,2022-01-01,7.94,3,0.09,0.2,0.14,2.62,26.8,26.8,26.7,6.27,Very Poor
1079,BUSO-BUSO,2022-01-01,7.93,3.69,0.09,0.27,0.14,2.68,27,26.9,26.8,6.47,Very Poor
1080,LEVISTE,2022-01-01,7.94,4.37,0.09,0.26,0.11,2.72,27,26.8,26.6,6.63,Very Poor
1081,SAMPALOC,2022-01-01,7.79,3.36,0.1,0.24,0.33,2.86,27,26.8,26.8,6.41,Very Poor
1082,NANGKAAN,2022-01-01,7.94,3.46,0.04,0.24,0.08,2.72,26.4,26.2,26.2,6.31,Very Poor
1083,TANAUAN,2022-01-01,7.81,3.45,0.06,0.3,0.15,2.56,26.7,26.5,26.5,6.33,Very Poor
1084,QUILING,2022-01-01,7.88,3.41,0.12,0.25,0.08,2.65,26.8,26.8,26.8,6.37,Very Poor
1085,LEVISTE,2022-02-01,8.05,4.54,0.07,0.33,0.14,2.79,27.7,26.9,26.5,6.74,Very Poor
1086,SAN ISIDRO,2022-02-01,8.11,6.06,0.07,0.36,0.13,3.18,27.5,26.9,26.2,7.14,Very Poor
1087,SAMPALOC,2022-02-01,8.05,5.42,0.06,0.31,0.13,3.71,27.2,26.8,26.5,7.02,Very Poor
1088,QUILING,2022-02-01,8.13,6.27,0.08,0.25,0.13,2.73,27,26.9,26.9,7.15,Very Poor
1089,TANAUAN,2022-02-01,8.12,5.35,0.08,0.35,0.17,2.68,26.6,26.5,26.5,6.87,Very Poor
1090,NANGKAAN,2022-02-01,8.3,5.3,0.08,0.22,0.16,2.5,26.7,26.5,26.5,6.86,Very Poor
1091,MANALAW,2022-02-01,8.22,5.29,0.08,0.09,0.18,2.54,27.4,27,27,6.92,Very Poor
1092,BAÑAGA,2022-02-01,8.13,4.63,0.12,0.11,0.28,2.67,27.8,27.3,27.2,6.82,Very Poor
1093,BUSO-BUSO,2022-02-01,8.28,4.67,0.12,0.19,0.18,2.7,27.6,27.3,27.3,6.85,Very Poor
1094,NANGKAAN,2022-03-01,8.44,6.86,0.05,0.12,0.15,2.54,27.8,27.1,26.9,7.36,Very Poor
1095,MANALAW,2022-03-01,8.14,6.65,0.03,0.16,0.19,2.5,28.7,27.3,27.2,7.34,Very Poor
1096,BAÑAGA,2022-03-01,8.07,4.27,0.08,0.1,0.27,2.49,28.8,27.3,27.3,6.76,Very Poor
1097,BUSO-BUSO,2022-03-01,8.02,5.65,0.07,0.11,0.27,2.7,28.2,27,26.9,7.05,Very Poor
1098,SAN ISIDRO,2022-03-01,7.75,6.28,0.07,0.14,0.34,2.63,28.9,27.3,27.3,7.24,Very Poor
1099,LEVISTE,2022-03-01,8.04,5.51,0.06,0.26,0.18,2.6,28.8,27,27,7.04,Very Poor
1100,SAMPALOC,2022-03-01,8.15,5.29,0.05,0.21,0.17,2.64,29,27.4,27.2,7.04,Very Poor
1101,QUILING,2022-03-01,8.32,6.2,0.06,0.2,0.27,2.65,28.6,27.4,27.4,7.3,Very Poor
1102,TANAUAN,2022-03-01,8.32,6.33,0.08,0.21,0.17,2.61,28.5,27.4,27.3,7.31,Very Poor
1103,LEVISTE,2022-04-01,7.77,6.27,0.054,0.144,0.1679999999999999,2.62,29.7,27.6,27.6,7.28,Very Poor
1104,SAN ISIDRO,2022-04-01,7.9,6.59,0.112,0.108,0.224,2.59,29.2,28,27,7.36,Very Poor
1105,SAMPALOC,2022-04-01,7.73,6.41,0.0819999999999999,0.112,0.156,2.49,29.2,27.3,27.1,7.23,Very Poor
1106,QUILING,2022-04-01,7.86,6.18,0.096,0.108,0.178,2.55,28.8,27.3,27.1,7.19,Very Poor
1107,TANAUAN,2022-04-01,7.47,6.27,0.058,0.028,0.4,2.51,29.4,28.1,27.4,7.25,Very Poor
1108,NANGKAAN,2022-04-01,7.98,6.34,0.056,0.09,0.138,2.45,28.3,28,27,7.23,Very Poor
1109,MANALAW,2022-04-01,7.95,6.18,0.074,0.09,0.3399999999999999,2.48,29.3,27.9,28.8,7.35,Very Poor
1110,BAÑAGA,2022-04-01,7.85,5.73,0.09,0.112,0.284,2.47,29.7,27.7,27.5,7.16,Very Poor
1111,BUSO-BUSO,2022-04-01,7.68,5.36,0.048,0.154,0.2779999999999999,2.54,29.6,27.4,27.7,7.04,Very Poor
1112,TANAUAN,2022-05-01,7.78,6.36,0.014,1.23,0.086,2.74,30.5,28,27.7,7.48,Very Poor
1113,NANGKAAN,2022-05-01,8.06,6.32,0.03,0.106,0.18,2.72,30.4,27.3,27.3,7.35,Very Poor
1114,MANALAW,2022-05-01,8.4,6.22,0.036,1.1960000000000002,0.136,2.75,30.6,28.1,28,7.57,Very Poor
1115,BAÑAGA,2022-05-01,8.13,5.26,0.018,0.064,0.29,2.63,31,28.1,27.8,7.19,Very Poor
1116,BUSO-BUSO,2022-05-01,7.93,4.81,0.108,0.094,0.3399999999999999,2.71,30.8,28.2,28,7.08,Very Poor
1117,LEVISTE,2022-05-01,8.02,5.11,0.074,0.094,0.41,2.63,31.2,30,28.4,7.3,Very Poor
1118,TANAUAN,2022-06-01,8.18,5.98,0.09,0.3,0.59,2.57,31.8,28,27.8,7.49,Very Poor
1119,NANGKAAN,2022-06-01,8.16,6.23,0.14,0.18,0.28,2.4,31.8,28.2,28.4,7.52,Very Poor
1120,MANALAW,2022-06-01,8.17,5.29,0.12,0.1,0.41,2.62,31.6,29,29.2,7.38,Very Poor
1121,BAÑAGA,2022-06-01,8.11,2.6,0.13,0.12,0.43,2.58,32,29.8,28,6.7,Very Poor
1122,BUSO-BUSO,2022-06-01,8.02,3.43,0.08,0.13,0.34,2.49,32,29.8,28,6.87,Very Poor
1123,LEVISTE,2022-06-01,7.99,6.25,0.08,0.16,0.45,2.53,32.2,29.4,28.4,7.61,Very Poor
1124,SAN ISIDRO,2022-06-01,8.07,6.37,0.09,0.14,0.27,2.53,32.1,28.8,27.8,7.55,Very Poor
1125,SAMPALOC,2022-06-01,8.28,5.85,0.1,0.18,0.26,2.66,32.4,29.4,28.4,7.55,Very Poor
1126,QUILING,2022-06-01,8.31,5.58,0.07,0.11,0.29,2.64,33,29.8,28.2,7.52,Very Poor
1127,TANAUAN,2022-07-01,8.14,5.15,0.036,0.12,0.42,2.54,30.3,28.2,27.1,7.12,Very Poor
1128,NANGKAAN,2022-07-01,8.37,6.28,0.002,0.15,0.19,2.56,30.8,28.1,27.6,7.45,Very Poor
1129,MANALAW,2022-07-01,8.42,5.75,0.056,0.08,0.36,2.58,31.1,30.7,28,7.52,Very Poor
1130,BAÑAGA,2022-07-01,8.2,2.53,0.034,0.06,0.93,2.59,30.8,28,28,6.61,Very Poor
1131,BUSO-BUSO,2022-07-01,8.51,1.9,0.066,0.15,0.41,2.56,31,30.2,28,6.55,Very Poor
1132,LEVISTE,2022-07-01,8.24,2.02,0.068,0.15,0.31,2.61,31.3,28.4,28.2,6.47,Very Poor
1133,SAN ISIDRO,2022-07-01,8.6,4.49,0.052,0.06,0.28,2.45,31,31.1,28,7.22,Very Poor
1134,SAMPALOC,2022-07-01,8.34,1.19,0.076,0.06,0.18,2.57,31.9,29.4,28,6.31,Very Poor
1135,QUILING,2022-07-01,8.38,5.42,0.044,0.06,0.61,2.72,31,29,29.5,7.46,Very Poor
1136,TANAUAN,2022-08-01,8.81,6.75,0.0419999999999999,1.186,0.19,2.55,30.2,28.8,25.5,7.64,Very Poor
1137,NANGKAAN,2022-08-01,8.83,6.75,0.024,1.148,0.18,2.51,30.6,28.2,27.6,7.73,Very Poor
1138,MANALAW,2022-08-01,8.95,5.1,0.09,0.042,0.64,2.46,30.2,29.8,28.1,7.38,Very Poor
1139,BAÑAGA,2022-08-01,8.67,1.76,0.0139999999999999,0.132,0.26,2.33,30.8,30,29.4,6.54,Very Poor
1140,BUSO-BUSO,2022-08-01,8.64,4.08,0.04,0,0.39,2.43,30.8,29.6,28,7.04,Very Poor
1141,LEVISTE,2022-08-01,8.67,1.75,0.062,0.1099999999999999,0.3,2.3,30.9,29.7,28.4,6.48,Very Poor
1142,SAN ISIDRO,2022-08-01,8.72,6.05,0.0419999999999999,0.05,0.23,2.23,31.2,30,29,7.6,Very Poor
1143,SAMPALOC,2022-08-01,8.54,1.74,0.0659999999999999,0.102,0.25,2.6,30.9,30.3,27.8,6.48,Very Poor
1144,QUILING,2022-08-01,8.86,6.7,0.036,0.09,0.21,2.6,31.3,28.4,28.3,7.71,Very Poor
1145,TANAUAN,2022-09-01,8.17,7.61,0.024,1.19,0.47,2.63,30.6,28.3,27.4,7.9,Very Poor
1146,NANGKAAN,2022-09-01,8.17,7.42,0.028,1.202,0.44,2.51,30.2,28.4,27.4,7.82,Very Poor
1147,MANALAW,2022-09-01,8.15,3.89,0.062,0.028,0.53,2.52,30,29.6,28.4,6.94,Very Poor
1148,BAÑAGA,2022-09-01,8.06,3.76,0.038,0.034,0.56,2.6,30.5,29.6,28.4,6.93,Very Poor
1149,BUSO-BUSO,2022-09-01,8.01,3.9,0.018,0.016,0.64,2.64,30.4,30,28,6.96,Very Poor
1150,LEVISTE,2022-09-01,8.03,2.62,0.04,0.066,0.56,2.46,30.6,29.9,28.7,6.66,Very Poor
1151,SAMPALOC,2022-09-01,8.16,5.32,0.032,0.046,0.52,2.46,30.8,29.8,27.8,7.31,Very Poor
1152,QUILING,2022-09-01,8.23,7.1,0.06,0.096,0.49,2.41,31.4,29.6,28.1,7.79,Very Poor
1153,TANAUAN,2022-10-01,8.29,7.3,0.032,0.078,0.48,2.51,30.2,30,27.9,7.81,Very Poor
1154,NANGKAAN,2022-10-01,8.27,6.32,0.074,0.03,0.44,2.54,30,28.6,27.8,7.47,Very Poor
1155,MANALAW,2022-10-01,8.27,6.92,0.092,0.066,0.56,2.47,30.2,29.5,28.1,7.71,Very Poor
1156,BAÑAGA,2022-10-01,8.08,2.26,0.062,0.13,0.65,2.42,30.2,29.3,28.8,6.55,Very Poor
1157,BUSO-BUSO,2022-10-01,8.15,4.85,0.048,0.048,0.66,2.48,30.2,29.6,27.4,7.15,Very Poor
1158,LEVISTE,2022-10-01,8.07,5.19,0.064,0.026,0.62,2.34,30.3,29.1,28.2,7.22,Very Poor
1159,SAN ISIDRO,2022-10-01,8.2,4.24,0.044,0.012,0.6,2.34,30.5,29.6,27.9,7.02,Very Poor
1160,SAMPALOC,2022-10-01,8.19,5.46,0.028,0.034,0.66,2.41,30.6,29.3,28.7,7.37,Very Poor
1161,QUILING,2022-10-01,8.33,5.55,0.038,0.036,0.51,2.36,30.5,29.6,27.8,7.35,Very Poor
1162,TANAUAN,2022-11-01,8.15,5.48,0.078,0.0779999999999999,0.53,2.32,28.2,28.1,28,7.13,Very Poor
1163,NANGKAAN,2022-11-01,8.2,5.47,0.066,0.1339999999999999,0.54,2.47,28.4,28.2,27.4,7.15,Very Poor
1164,LEVISTE,2022-11-01,8.1,5.17,0.06,0.09,0.58,2.42,28.9,28.8,28.2,7.15,Very Poor
1165,SAMPALOC,2022-11-01,7.88,4.9,0.072,0.128,0.62,2.55,28.6,28.5,27.4,7,Very Poor
1166,QUILING,2022-11-01,7.88,3.07,0.062,0.154,0.51,2.46,28.2,28,28,6.5,Very Poor
1167,MANALAW,2022-11-01,8.23,5.25,0.048,0.066,0.55,2.5,28.8,28.7,28.7,7.2,Very Poor
1168,BAÑAGA,2022-11-01,7.94,3.28,0.06,0.09,0.66,2.57,28.8,28.6,27.8,6.64,Very Poor
1169,BUSO-BUSO,2022-11-01,7.93,4.7,0.028,0.0419999999999999,0.69,2.47,29,28.7,27.2,6.97,Very Poor
1170,TANAUAN,2022-12-01,7.93,6.2,0.056,0.096,0.6,2.54,28.2,28,28,7.31,Very Poor
1171,NANGKAAN,2022-12-01,8.09,5.98,0.056,0.146,0.6,2.42,28.2,28.1,27.3,7.24,Very Poor
1172,MANALAW,2022-12-01,8.12,5.05,0.0799999999999999,0.06,0.64,2.34,28.8,28.9,28.5,7.13,Very Poor
1173,BAÑAGA,2022-12-01,7.82,3.06,0.09,0.086,0.7,2.43,28.8,28.8,28.4,6.6,Very Poor
1174,BUSO-BUSO,2022-12-01,7.74,4.2,0.046,0.036,0.86,2.5,28.8,28.8,27.7,6.86,Very Poor
1175,LEVISTE,2022-12-01,8.05,6.07,0.09,0.124,0.66,2.55,29,28.3,28.6,7.4,Very Poor
1176,SAMPALOC,2022-12-01,7.8,4.99,0.046,0.12,0.72,2.15,28.9,28.7,27,6.99,Very Poor
1177,QUILING,2022-12-01,7.69,5.81,0.064,0.086,0.68,2.3,28.4,28.2,28,7.18,Very Poor
1178,SAMPALOC,2023-01-01,5.23,2.04,0.058,0.172,0.55,1.83,26.8,26.9,26.4,5.59,Very Poor
1179,QUILING,2023-01-01,5.15,1.98,0.056,0.166,0.53,1.77,26.8,26.8,26.24,5.54,Very Poor
1180,LEVISTE,2023-01-01,5.23,2.75,0.066,0.1139999999999999,0.55,1.84,27.1,27,26.52,5.79,Very Poor
1181,TANAUAN,2023-01-01,5.26,2.24,0.06,0.166,0.52,1.8,26.6,26.8,26.8,5.64,Very Poor
1182,MATAAS NA KAHOY,2023-01-01,5.16,2.57,0.06,0.166,0.42,1.74,26.6,26.3,26.3,5.64,Very Poor
1183,MANALAW,2023-01-01,5.23,3.91,0.14,0.154,0.45,1.56,27,26.9,26.84,6.05,Very Poor
1184,BAÑAGA,2023-01-01,5.18,2.84,0.056,0.13,0.5,1.77,26.8,26.6,26.52,5.75,Very Poor
1185,BUSO-BUSO,2023-01-01,5.21,2.73,0.136,0.1659999999999999,0.51,1.78,26.8,27.2,26.52,5.77,Very Poor
1186,TANAUAN,2023-02-01,5.43,6.99,0.034,0.03,0.43,1.8,31.5,31.5,29.72,7.45,Very Poor
1187,NANGKAAN,2023-02-01,5.39,5.52,0.054,0.086,0.43,1.78,31.3,31.2,28.6,7,Very Poor
1188,MANALAW,2023-02-01,5.48,6.83,0.052,0.06,0.49,1.74,32,32.1,28.880000000000003,7.44,Very Poor
1189,BAÑAGA,2023-02-01,5.38,5,0.068,0.072,0.51,1.73,32,32,28.279999999999998,6.93,Very Poor
1190,BUSO-BUSO,2023-02-01,5.45,5.3,0.03,0.158,22.92,1.76,31.9,31.8,29.62,10.44,Very Poor
1191,LEVISTE,2023-02-01,5.51,7.33,0.016,0.1619999999999999,0.46,1.79,32.2,31.8,30.02,7.63,Very Poor
1192,SAMPALOC,2023-02-01,5.46,6.71,0.016,0.152,0.45,1.85,32.2,32,30.14,7.48,Very Poor
1193,QUILING,2023-02-01,5.4,5.78,0.08,0.096,0.46,1.84,31.8,31.4,27.6,7.07,Very Poor
1194,TANAUAN,2023-03-01,5.54,6.72,0.09,0.2339999999999999,0.55,1.74,26.3,26.3,26.82,6.77,Very Poor
1195,NANGKAAN,2023-03-01,5.5,6.19,0.048,0.11,0.53,1.68,26.5,26.8,26.7,6.64,Very Poor
1196,MANALAW,2023-03-01,5.5,5.86,0.0559999999999999,0.184,0.5,1.6,26.8,27.3,26.9,6.6,Very Poor
1197,BAÑAGA,2023-03-01,5.46,4.74,0.156,0.164,0.59,1.65,27.1,26.8,26.880000000000003,6.33,Very Poor
1198,BUSO-BUSO,2023-03-01,5.47,5.67,0.0659999999999999,0.148,0.58,1.76,27,26.8,26.7,6.55,Very Poor
1199,LEVISTE,2023-03-01,5.5,5.63,0.068,0.082,0.57,1.65,26.9,26.8,26.75,6.52,Very Poor
1200,SAMPALOC,2023-03-01,5.43,5.18,0.1119999999999999,0.13,0.53,1.81,26.8,26.5,26.48,6.38,Very Poor
1201,QUILING,2023-03-01,5.46,5.74,0.108,0.164,0.48,1.8,26.5,26.5,26.8,6.52,Very Poor
1202,TANAUAN,2023-04-01,5.59,8.8,0.076,0.028,0.5,1.75,28.8,28.9,27.84,7.58,Very Poor
1203,NANGKAAN,2023-04-01,5.62,8.33,0.06,0.048,0.52,1.71,28.8,26.9,27.440000000000005,7.34,Very Poor
1204,MANALAW,2023-04-01,5.53,7.42,0.072,0.072,0.5,1.76,29.9,27.4,26.8,7.15,Very Poor
1205,BAÑAGA,2023-04-01,5.5,4.42,0.048,0.112,0.53,1.73,29.8,27,27.2,6.4,Very Poor
1206,BUSO-BUSO,2023-04-01,5.55,6.3,0.054,0.0579999999999999,0.53,1.89,30,26.5,26.8,6.85,Very Poor
1207,LEVISTE,2023-04-01,5.59,7.11,0.104,0.082,0.48,1.8,30.5,27.8,27.26,7.16,Very Poor
1208,SAMPALOC,2023-04-01,5.59,6.75,0.094,0.102,0.52,1.83,30.6,27.1,26.98,7.04,Very Poor
1209,QUILING,2023-04-01,5.7,8.99,0.08,0.1639999999999999,0.51,1.73,30.2,26.4,26.779999999999998,7.55,Very Poor
1210,TANAUAN,2023-05-01,5.6,8.63,0.11,0.032,0.59,1.72,30.2,27.1,27.160000000000004,7.5,Very Poor
1211,NANGKAAN,2023-05-01,5.55,6.36,0.0659999999999999,0.072,0.82,1.79,29.9,27.8,27.5,7,Very Poor
1212,MANALAW,2023-05-01,5.54,6.79,0.11,0.102,0.61,1.75,31.1,27.8,27,7.11,Very Poor
1213,BAÑAGA,2023-05-01,5.41,4.18,0.09,0.076,0.64,1.81,31.1,27.2,27.3,6.43,Very Poor
1214,BUSO-BUSO,2023-05-01,5.48,5.39,0.096,0.094,0.67,1.82,30.8,27.1,27.18,6.72,Very Poor
1215,LEVISTE,2023-05-01,5.52,5.77,0.092,0.05,0.62,1.73,31.6,27.1,27.24,6.85,Very Poor
1216,SAMPALOC,2023-05-01,5.87,5.14,0.09,0.178,0.6,1.75,30.2,27.1,27.380000000000003,6.69,Very Poor
1217,QUILING,2023-05-01,5.6,2.24,0.05,0.078,0.6,1.74,31,28,27.22,5.99,Very Poor
1218,TANAUAN,2023-06-01,5.68,2.96,0.0699999999999999,0.0819999999999999,0.58,1.71,31.2,28.1,27.879999999999995,6.22,Very Poor
